Product Name,Price,Description,Rating,RAM_GB,ROM_GB,Screen_cm,Rear_Camera_MP,Front_Camera_MP,Battery_mAh,Is_5G,Price_INR,Brand,Price_per_GB_RAM,Camera_Score,Value_Score,Price_Tier
"POCO C71 (Desert Gold, 128 GB)","₹8,199","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.1,6.0,128.0,17.48,32.0,8.0,5200.0,0.0,8199.0,Poco,1366.5,40.0,3.80534211489206,Premium
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹10,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,4.2,4.0,128.0,17.07,49.6,16.0,5000.0,1.0,10999.0,Motorola,2749.75,65.6,1.8183471224656786,Ultra
"realme C61 (Marble Black, 64 GB)","₹6,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,4.0,64.0,17.13,32.0,5.0,5000.0,0.0,6999.0,realme,1749.75,37.0,2.8575510787255323,Mid
"realme C71 (Sea Blue, 128 GB)","₹9,699",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.2,6.0,128.0,17.14,13.0,5.0,6300.0,0.0,9699.0,realme,1616.5,18.0,3.8973090009279305,Premium
"POCO C75 5G (Aqua Bliss, 64 GB)","₹8,299",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,4.0,64.0,17.48,50.0,5.0,5160.0,1.0,8299.0,Poco,2074.75,55.0,2.4870466321243523,Premium
"POCO C71 (Power Black, 128 GB)","₹8,199","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.1,6.0,128.0,17.48,32.0,8.0,5200.0,0.0,8199.0,Poco,1366.5,40.0,3.80534211489206,Premium
"POCO C71 (Cool Blue, 128 GB)","₹8,199","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.1,6.0,128.0,17.48,32.0,8.0,5200.0,0.0,8199.0,Poco,1366.5,40.0,3.80534211489206,Premium
"POCO C75 5G (Aqua Bliss, 128 GB)","₹9,299",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,4.0,128.0,17.48,50.0,5.0,5160.0,1.0,9299.0,Poco,2324.75,55.0,2.2195935046779223,Premium
"REDMI A5 (Jaisalmer Gold, 128 GB)","₹7,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.2,4.0,128.0,17.48,32.0,8.0,5200.0,0.0,7999.0,Redmi,1999.75,40.0,2.6003250406300786,Premium
"POCO C75 5G (Enchanted Green, 128 GB)","₹9,299",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,4.0,128.0,17.48,50.0,5.0,5160.0,1.0,9299.0,Poco,2324.75,55.0,2.2195935046779223,Premium
